cell_id,month_date,count_last_1m,count_last_3m,count_last_6m,max_mag_last_3m,max_mag_last_6m,avg_mag_last_6m,avg_depth_last_6m,max_depth_last_6m,max_sig_last_3m,avg_mmi_last_3m,avg_cdi_last_3m,months_since_last_quake,trend_3m_minus_6m_avg,max_mag_last_12m
-20.0_167.5,2010-12-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,0.0,0.0
-20.5_-174.5,2006-05-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,0.0,0.0
-20.5_-178.5,2022-11-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,0.0,0.0
-20.5_-179.0,2019-09-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,0.0,0.0
-20.5_-71.0,2014-04-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,0.0,0.0
-20.5_168.0,2011-05-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,0.0,0.0
-20.5_168.5,2008-04-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,0.0,0.0
-21.0_-63.5,2018-04-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,0.0,0.0
-21.0_-70.5,2014-04-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,0.0,0.0
-21.0_168.0,2011-01-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,0.0,0.0
-21.0_169.0,2007-03-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,0.0,0.0
-21.0_169.5,2011-09-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,0.0,0.0
-21.5_168.5,2017-11-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,0.0,0.0
-21.5_170.0,2014-05-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,0.0,0.0
-21.5_170.0,2022-09-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,0.0,0.0
-21.5_174.5,2021-10-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,0.0,0.0
-21.5_174.5,2021-10-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,0.0,0.0
-21.5_33.5,2006-02-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,0.0,0.0
-22.0_-177.5,2021-04-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,0.0,0.0
-22.0_-178.5,2016-05-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,0.0,0.0
-22.0_-180.0,2019-11-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,0.0,0.0
-22.0_-68.5,2002-03-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,0.0,0.0
-22.0_168.5,2017-11-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,0.0,0.0
-22.0_168.5,2017-11-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,0.0,0.0
-22.0_169.0,2017-10-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,0.0,0.0
-22.0_169.0,2018-12-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,0.0,0.0
-22.0_169.5,2018-10-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,0.0,0.0
-22.5_-68.0,2005-11-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,0.0,0.0
-22.5_-70.0,2007-11-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,0.0,0.0
-22.5_169.5,2003-12-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,0.0,0.0
-22.5_169.5,2018-12-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180,0.0,0.0
-22.5_170.0,2018-08-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,0.0,0.0
-22.5_173.0,2016-08-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,0.0,0.0
-23.0_-70.5,2007-11-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,0.0,0.0
-23.0_-70.5,2007-12-01,1,1,1,6.8,6.8,6.8,26.0,26.0,716.0,7.0,6.0,1,0.5,6.8
-23.0_170.0,2022-03-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,0.0,0.0
-23.0_170.0,2022-03-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,0.0,0.0
-23.0_25.0,2017-04-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,0.0,0.0
-23.5_-175.0,2009-03-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,0.0,0.0
-23.5_-177.5,2013-05-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,0.0,0.0
-23.5_-179.0,2017-02-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,0.0,0.0
-23.5_-67.0,2015-02-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,0.0,0.0
-23.5_-68.5,2020-06-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,0.0,0.0
-23.5_171.0,2021-02-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,0.0,0.0
-24.0_-180.0,2022-02-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,0.0,0.0
-24.0_-67.0,2022-05-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,0.0,0.0
-25.5_178.0,2018-09-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,0.0,0.0
-26.0_178.0,2022-11-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,0.0,0.0
-26.0_178.0,2022-11-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,0.0,0.0
-26.5_178.0,2022-11-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,0.0,0.0
-27.5_-71.5,2006-04-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,0.0,0.0
-27.5_-71.5,2006-04-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,0.0,0.0
-28.0_-71.0,2002-04-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,0.0,0.0
-28.0_-71.5,2020-09-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,0.0,0.0
-28.5_-177.0,2021-03-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,0.0,0.0
-28.5_-71.0,2013-01-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,0.0,0.0
-28.5_-71.5,2020-09-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,0.0,0.0
-3.0_100.0,2007-09-01,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999,0.0,0.0
